station_name,fecha,pv_voltage_V_NORM_MEAN,pv_voltage_V_NORM_MIN,pv_voltage_V_NORM_MAX,pv_current_A_NORM_MEAN,pv_current_A_NORM_MIN,pv_current_A_NORM_MAX,pv_power_W_NORM_MEAN,pv_power_W_NORM_MIN,pv_power_W_NORM_MAX,battery_soc_%_NORM_MEAN,battery_soc_%_NORM_MIN,battery_soc_%_NORM_MAX,battery_voltage_V_NORM_MEAN,battery_voltage_V_NORM_MIN,battery_voltage_V_NORM_MAX,battery_current_A_NORM_MEAN,battery_current_A_NORM_MIN,battery_current_A_NORM_MAX,load_voltage_V_NORM_MEAN,load_voltage_V_NORM_MIN,load_voltage_V_NORM_MAX,load_current_A_NORM_MEAN,load_current_A_NORM_MIN,load_current_A_NORM_MAX,load_power_W_NORM_MEAN,load_power_W_NORM_MIN,load_power_W_NORM_MAX,controller_temp_C_NORM_MEAN,controller_temp_C_NORM_MIN,controller_temp_C_NORM_MAX,energy_generated_today_kWh_MAX,energy_consumed_today_kWh_MAX,battery_voltage_RANGE,controller_temp_RANGE,es_dia_productivo
AguasAgrias,2026-05-12,0.3265398314201856,0.0,0.9462194879936496,0.0943502120229483,0.0,0.7109004739336493,0.1228895821339153,0.0,0.7855507504451793,0.8127631578947369,0.64,1.0,0.911001709279966,0.874830852503383,0.9952638700947228,0.1295624117765678,0.0,0.8084291187739463,0.910983904280322,0.874830852503383,0.9952638700947228,0.2261321909424724,0.127906976744186,1.0,0.2245411085554503,0.1328191945158526,1.0,0.5626881669582762,0.3932315064390536,0.7885594489368074,0.13,0.06,0.12,0.4,True
AguasAgrias,2026-05-13,0.2199396431968576,0.0,0.9462194879936496,0.1099852917143324,0.0,0.7725118483412322,0.1288344634602057,0.0,0.785041974052404,0.733448275862069,0.62,1.0,0.8986514861649013,0.8707713125845737,0.9844384303112316,0.1342977936319196,0.0,0.8122605363984675,0.8987214782324671,0.8707713125845737,0.9844384303112316,0.1820368885324779,0.1162790697674418,0.2441860465116279,0.1736548178352983,0.1328191945158526,0.2210796915167095,0.501378690708554,0.3716681641209943,0.9311171009284216,0.05,0.03,0.11,0.56,False
AguasAgrias,2026-05-14,0.4334806159018479,0.0,0.9597142290136932,0.043281293560078,0.0,0.3554502369668246,0.0870980292396785,0.0,0.4350038158229458,0.8297058823529412,0.63,1.0,0.9083519063917854,0.8728010825439784,0.9722598105548038,0.0938133874239351,0.0,0.4559386973180077,0.9083320066863012,0.8728010825439784,0.9722598105548038,0.1744186046511628,0.0930232558139534,0.2441860465116279,0.1687459045314784,0.1216795201371036,0.2133676092544987,0.6428131000828003,0.3935309973045822,0.9772386942198265,0.08,0.05,0.1,0.58,True
AguasAgrias,2026-05-15,0.3431157761539202,0.0,0.97241516173844,0.0529304115245647,0.0,0.5545023696682464,0.0821245696179895,0.0,0.6642075807682524,0.7809900990099009,0.6,1.0,0.9012781521724568,0.868064952638701,0.983085250338295,0.0881605401919502,0.0,0.6896551724137931,0.9013049478154852,0.868064952638701,0.9817320703653586,0.1763757771125949,0.1162790697674418,0.2325581395348837,0.1747562931100308,0.1062553556126821,0.2227934875749785,0.5699133255643624,0.3896376160527103,0.8963761605271039,0.08,0.05,0.12,0.51,True
AguasAgrias,2026-05-16,0.2839904817192255,0.0,0.9384798571145068,0.0718873189529166,0.0,0.8199052132701422,0.0894543016568517,0.0,0.8262528618672094,0.7733644859813084,0.6,1.0,0.9015719651461308,0.868064952638701,0.9945872801082544,0.0970387080603,0.0,0.8505747126436782,0.9015024091662136,0.868064952638701,0.99255751014885,0.180612910236905,0.127906976744186,0.2441860465116279,0.1787393188061088,0.130248500428449,0.2262210796915167,0.5203499844656607,0.3896376160527103,0.7433363282419886,0.08,0.04,0.13,0.35,True
AguasAgrias,2026-05-17,0.3101897789831903,0.0,0.9551498313157372,0.0791205897840969,0.0,0.8578199052132702,0.1029188690089224,0.0,1.0,0.7964814814814815,0.6,1.0,0.9059164035483386,0.868064952638701,0.99255751014885,0.1068894565063147,0.0,1.0,0.905966521325114,0.868064952638701,0.9952638700947228,0.1805555555555555,0.127906976744186,0.2325581395348837,0.1739741026373417,0.117395029991431,0.2227934875749785,0.5417262875334155,0.391434561245882,0.8562443845462713,0.08,0.05,0.12,0.46,True
AguasAgrias,2026-05-18,0.2061460607263345,0.0,0.9914665608255606,0.0955924170616113,0.0,0.4881516587677725,0.0926405494785042,0.0,0.4001526329178326,0.7704000000000001,0.6,1.0,0.902638700947226,0.868064952638701,0.9857916102841678,0.1003831417624521,0.0,0.4291187739463602,0.902638700947226,0.868064952638701,0.9871447902571042,0.1801162790697674,0.0930232558139534,0.2209302325581395,0.1742759211653813,0.1165381319622964,0.2305055698371893,0.4850613956274333,0.3770589997005091,0.655884995507637,0.08,0.05,0.12,0.28,True
AguasAgrias,2026-05-19,0.268885710327371,0.0,1.0,0.0577215416256818,0.0,0.5071090047393365,0.0721598517828772,0.0,0.4713813279063851,0.779622641509434,0.6,1.0,0.9018306227181044,0.8673883626522328,0.979702300405954,0.0773151160268922,0.0,0.475095785440613,0.9017412617764956,0.8673883626522328,0.979702300405954,0.1801228609039052,0.127906976744186,0.2325581395348837,0.1763027275225946,0.1293916023993145,0.2279348757497857,0.5103635141014992,0.3962264150943396,0.7798742138364779,0.08,0.05,0.11,0.38,True
AguasAgrias,2026-05-20,0.2530532119736327,0.0,0.9763842032149236,0.0727552196746509,0.0,0.8909952606635071,0.0812025457153923,0.0,0.7407784278809463,0.7762162162162162,0.6,1.0,0.9008643284692,0.8673883626522328,0.9695534506089312,0.0884677781229505,0.0,0.7969348659003832,0.9008338514427824,0.8673883626522328,0.9695534506089312,0.1873035826524198,0.127906976744186,0.2325581395348837,0.1799717455244447,0.1096829477292202,0.2416452442159383,0.5120268516494931,0.3977238694219826,0.7732854147948488,0.08,0.04,0.1,0.38,True
AguasAgrias,2026-05-21,0.300729556980306,0.0,0.9551498313157372,0.0504903570925813,0.0,0.8009478672985783,0.074346839415562,0.0,0.6893920122106334,0.7712871287128713,0.6,1.0,0.9001862297190477,0.8667117726657646,0.9857916102841678,0.0799286825234247,0.0,0.7164750957854407,0.9002666166481331,0.8667117726657646,0.9857916102841678,0.1792539719088188,0.127906976744186,0.2325581395348837,0.1824174705388276,0.1328191945158526,0.2485004284490145,0.5479793262345103,0.3740640910452231,0.9074573225516622,0.07,0.05,0.12,0.53,False
